date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.05,21.03,4.76,2.95,9.19,4.554,319
2019-12-10T00:00:00.000Z,6.53,27.92,14.63,12.51,17.82,3.949,410
2019-12-11T00:00:00.000Z,4.15,34.82,9.98,8.11,12.58,3.484,428
2019-12-12T00:00:00.000Z,13.56,53.05,26.31,21.1,33.04,8.356,496
2019-12-13T00:00:00.000Z,17.66,61.65,31.67,26.84,41.18,9.676,562
2019-12-14T00:00:00.000Z,0.7,35.03,8.97,4.88,24,10.542,398
2019-12-15T00:00:00.000Z,0.75,20.21,4.2,2.68,7.33,3.602,583
2019-12-16T00:00:00.000Z,2.58,19.57,6.13,5,7.57,2.3,293
2019-12-17T00:00:00.000Z,4.25,30.06,8.85,7.4,10.66,6.948,289
2019-12-18T00:00:00.000Z,0.85,34.2,3.62,2.08,5.35,6.39,468
2019-12-19T00:00:00.000Z,23.65,119.85,48.72,35.04,68.3,22.074,560
2019-12-20T00:00:00.000Z,10.9,80.78,36.85,25.82,61.73,21.017,593
2019-12-21T00:00:00.000Z,2,59.42,15.47,7.36,20.04,10.473,577
2019-12-22T00:00:00.000Z,18.98,91.53,37.04,32.43,48.45,11.429,587
2019-12-23T00:00:00.000Z,3.32,36.18,13.52,7.89,20.77,7.266,586
2019-12-24T00:00:00.000Z,2.68,28.05,10.76,8.22,13.64,5.496,594
2019-12-25T00:00:00.000Z,3.9,28.52,13.74,10.92,17.23,4.865,589
2019-12-26T00:00:00.000Z,1.68,24.15,9.21,6.39,11.65,3.806,590
2019-12-27T00:00:00.000Z,0.86,20.92,3.84,2.62,10.7,5.529,593
2019-12-28T00:00:00.000Z,0.74,14.43,2.29,1.5,3.86,1.969,587
2019-12-29T00:00:00.000Z,2.85,19.55,7.32,5.75,11.67,3.55,592
2019-12-30T00:00:00.000Z,2.18,17.73,4.42,3.55,7.19,3.182,585
2019-12-31T00:00:00.000Z,1.88,414.55,19.32,13.12,28.94,62.471,580
2020-01-01T00:00:00.000Z,11.82,350.52,40.61,27.64,48.45,63.225,593
2020-01-02T00:00:00.000Z,6.7,55.72,22.43,12.46,39.88,13.851,572
2020-01-03T00:00:00.000Z,1.6,29.28,12.85,9.94,19.02,5.641,549
2020-01-04T00:00:00.000Z,0.55,32.53,13.36,9.42,16.85,5.989,558
2020-01-05T00:00:00.000Z,6.25,27.66,13.56,11.57,15.7,3.155,572
2020-01-06T00:00:00.000Z,8.03,24.77,16.42,13.2,19.5,3.94,527
2020-01-07T00:00:00.000Z,17.02,61.68,32.76,25.74,40.96,9.965,515
2020-01-08T00:00:00.000Z,3.08,36.65,9.22,6.08,14.89,6.083,508
2020-01-09T00:00:00.000Z,6.77,62.1,27.24,13.15,35.74,14.37,540
2020-01-10T00:00:00.000Z,1.58,43.95,5.07,3.38,10.68,13.006,433
2020-01-11T00:00:00.000Z,1.23,21.66,6.16,4.41,8.11,2.966,533
2020-01-12T00:00:00.000Z,3.49,20.75,10.86,7.33,14.03,4.066,565
2020-01-13T00:00:00.000Z,2.27,23.28,9.44,5.7,13.87,5.222,482
2020-01-14T00:00:00.000Z,1.9,32.2,5.39,3.16,21.82,9.607,438
2020-01-15T00:00:00.000Z,1.55,14.13,4.2,2.95,7.77,2.855,469
2020-01-16T00:00:00.000Z,1.12,41.76,5.71,3.6,16.17,10.4,472
2020-01-17T00:00:00.000Z,10.92,59.28,35.85,22.82,42.98,12.25,468
2020-01-18T00:00:00.000Z,2.22,33.35,7.34,5.5,13.32,8.271,506
2020-01-19T00:00:00.000Z,10.11,34.61,21.49,17.66,24.62,4.673,472
2020-01-20T00:00:00.000Z,6.63,40.47,22.35,16.14,27.94,7.431,365
2020-01-21T00:00:00.000Z,7.71,45.17,17.34,14.16,22.22,7.778,461
2020-01-22T00:00:00.000Z,34.02,59,44.73,41.13,48.64,6.353,19
2020-01-23T00:00:00.000Z,6.88,43.93,19.14,11.23,27.6,10.43,85
2020-01-24T00:00:00.000Z,33.47,87.98,54.51,43.67,63,12.682,272
2020-01-25T00:00:00.000Z,20.38,78.95,44.16,34.38,54,12.459,301
2020-01-26T00:00:00.000Z,12.46,106.18,56.57,48.89,67.25,15.562,310
2020-01-27T00:00:00.000Z,9.92,88.24,37.65,20.46,72.34,25.967,256
2020-01-28T00:00:00.000Z,0.52,28.77,6.03,2.73,11.26,6.947,272
2020-01-29T00:00:00.000Z,1.35,17.1,6.56,5.16,8.5,2.707,311
2020-01-30T00:00:00.000Z,3.58,20.88,9.49,7.26,12.17,3.681,294
2020-01-31T00:00:00.000Z,2.06,15.75,7.12,5.3,9.35,2.882,275
2020-02-01T00:00:00.000Z,0.74,16.73,1.77,1.14,3.14,3.191,328
2020-02-02T00:00:00.000Z,2.98,20.07,10.45,8.48,12.37,3.006,338
2020-02-03T00:00:00.000Z,2.9,30.38,11.3,8.22,14.88,5.129,323
2020-02-04T00:00:00.000Z,1.73,22.85,9,5.01,12.34,4.607,261
2020-02-05T00:00:00.000Z,0.4,21.23,2.23,1.2,4.59,2.514,241
2020-02-06T00:00:00.000Z,2.9,34.27,14.72,10.69,17.94,6.041,237
2020-02-07T00:00:00.000Z,8.1,48.38,24.81,16.16,30.55,8.703,214
2020-02-08T00:00:00.000Z,7.26,68.31,17.37,11.42,46.01,18.414,197
2020-02-09T00:00:00.000Z,1.2,28.76,11.77,4.37,19.23,7.841,371
2020-02-10T00:00:00.000Z,0.5,20,3.94,2.42,6.56,3.463,368
2020-02-11T00:00:00.000Z,0.4,16.47,4.98,2.92,7.12,3.025,366
2020-02-12T00:00:00.000Z,1.83,19.8,6.24,4.9,7.8,2.422,382
2020-02-13T00:00:00.000Z,2.44,25.15,7.46,6.04,9.27,2.654,375
2020-02-14T00:00:00.000Z,9.48,75.76,31.12,25.72,43.08,14.439,395
2020-02-15T00:00:00.000Z,4.05,86.88,18.98,9.3,52.38,25.872,334
2020-02-16T00:00:00.000Z,0.48,8.15,2.56,1.9,3.48,1.236,383
2020-02-17T00:00:00.000Z,0.4,11,2.37,1.34,3.39,1.601,349
2020-02-18T00:00:00.000Z,1.1,14.34,3.8,2.64,5.13,1.993,310
2020-02-19T00:00:00.000Z,1.48,17.36,5.95,4.62,8.36,2.892,456
2020-02-20T00:00:00.000Z,1.76,22.68,10.8,7.16,14.67,5.118,502
2020-02-21T00:00:00.000Z,0.64,17.77,8.6,6.25,10.68,3.666,429
2020-02-22T00:00:00.000Z,0.95,19.82,4.59,3.26,6.49,2.502,452
2020-02-23T00:00:00.000Z,0.53,13.8,4.2,2.09,5.71,2.507,437
2020-02-24T00:00:00.000Z,1.95,22,10.3,7.47,13.02,3.755,526
2020-02-25T00:00:00.000Z,1.02,12.32,4.01,2.74,5.84,2.335,461
2020-02-26T00:00:00.000Z,1.5,21.87,11.72,5.66,15.48,5.481,402
2020-02-27T00:00:00.000Z,2.02,77.43,8.5,6.22,11.38,5.26,563
2020-02-28T00:00:00.000Z,1.66,24.03,9.15,6.97,12.96,4.314,561
2020-02-29T00:00:00.000Z,0.98,23.35,9.65,6.52,11.91,4.04,578
2020-03-01T00:00:00.000Z,0.68,7.9,2.23,1.62,3.06,1.164,578
2020-03-02T00:00:00.000Z,0.92,23.57,6.75,3.32,11.73,4.565,488
2020-03-03T00:00:00.000Z,1.82,22.52,9.84,5.09,16.13,5.651,426
2020-03-04T00:00:00.000Z,4.76,40.36,15.37,10.59,21.88,7.804,585
2020-03-05T00:00:00.000Z,2.31,57.3,14.33,6.52,31,14.7,590
2020-03-06T00:00:00.000Z,11.28,102.44,23.12,17.92,27.39,15.458,593
2020-03-07T00:00:00.000Z,15.05,48.42,27.52,22.21,34.89,7.711,593
2020-03-08T00:00:00.000Z,5.15,30.83,15.78,13.07,19.04,4.817,592
2020-03-09T00:00:00.000Z,4.7,31.58,11.6,9.14,15.29,5.531,585
2020-03-10T00:00:00.000Z,1.34,20.6,8.06,4.59,11.81,4.398,588
2020-03-11T00:00:00.000Z,1.54,16.84,6.49,5.09,8.05,2.425,582
2020-03-12T00:00:00.000Z,0.82,27.22,3.08,2.14,4.66,6.079,514
2020-03-13T00:00:00.000Z,0.6,27.67,4.95,3.02,8.05,5.321,523
2020-03-14T00:00:00.000Z,2.13,36.33,7.94,4.38,17.19,7.634,544
2020-03-15T00:00:00.000Z,1.98,13.55,5.94,3.65,8.82,3.005,293
2020-03-16T00:00:00.000Z,2.48,76.59,9.55,6.6,12.31,5.726,584
2020-03-17T00:00:00.000Z,4.09,54.67,16.34,11.39,22.43,7.111,585
2020-03-18T00:00:00.000Z,2.78,46.67,9.98,6.59,14.74,9.048,351
2020-03-19T00:00:00.000Z,3.49,29.54,17.48,11.2,22.35,6.761,570
2020-03-20T00:00:00.000Z,0.88,28.5,10.54,8.4,13.36,4.335,489
2020-03-21T00:00:00.000Z,0.75,23.24,3.09,1.92,6.59,4.978,488
2020-03-22T00:00:00.000Z,0.85,23.98,2.67,1.66,4.32,2.504,472
2020-03-23T00:00:00.000Z,2.02,14.38,5.58,4.05,7.17,2.226,459
2020-03-24T00:00:00.000Z,5.8,22.3,10.93,9.35,13.03,3.293,464
2020-03-25T00:00:00.000Z,9.24,28.64,16.02,13.88,18.53,3.533,448
2020-03-26T00:00:00.000Z,13.38,39.79,22.16,19.42,25.83,4.364,439
2020-03-27T00:00:00.000Z,23.42,48.05,34.65,31.17,38.31,4.886,393
2020-03-28T00:00:00.000Z,21.7,44.9,31.17,26.78,38.68,6.192,174
2020-03-29T00:00:00.000Z,0.75,48.77,2.82,1.83,16.91,12.425,361
2020-03-30T00:00:00.000Z,4.34,21.14,13.94,9.53,16.11,4.202,148
2020-03-31T00:00:00.000Z,0.7,21.65,3.05,1.7,5.26,2.992,350
2020-04-01T00:00:00.000Z,1.1,8.02,3.09,2.21,4.61,1.624,224
2020-04-02T00:00:00.000Z,1.81,26,8.4,5.13,14.33,6.199,456
2020-04-03T00:00:00.000Z,2.52,23.8,7.45,5.56,9.91,4.117,470
2020-04-04T00:00:00.000Z,1.35,30.65,5.11,3.66,7.55,6.529,534
2020-04-05T00:00:00.000Z,6.1,20.85,11.57,10.03,13.24,2.414,542
2020-04-06T00:00:00.000Z,9.27,29.45,16.05,13.27,20.02,4.333,513
2020-04-07T00:00:00.000Z,2.23,32.88,8.19,5.28,20.57,8.066,455
2020-04-08T00:00:00.000Z,3.3,30.54,10.9,7.88,15.75,6.591,496
2020-04-09T00:00:00.000Z,1.14,32.45,6.85,4.09,13.97,7.778,471
2020-04-10T00:00:00.000Z,0.4,11.6,1.07,0.77,1.96,1.47,528
2020-04-11T00:00:00.000Z,1.34,8.64,4.62,3.53,5.8,1.695,157
2020-04-12T00:00:00.000Z,1.14,9.55,3.51,2.16,4.8,1.609,592
2020-04-13T00:00:00.000Z,0.45,10.16,1.8,1.09,2.93,1.721,589
2020-04-14T00:00:00.000Z,0.52,9.17,1.48,0.98,2.24,1.014,570
2020-04-15T00:00:00.000Z,0.83,8.52,2.84,2.13,4.08,1.366,530
2020-04-16T00:00:00.000Z,1.36,13.82,4.08,2.7,5.94,2.408,526
2020-04-17T00:00:00.000Z,0.7,8.26,2.46,1.79,3.25,1.091,584
2020-04-18T00:00:00.000Z,0.6,6.5,1.63,1.21,2.25,0.834,597
2020-04-19T00:00:00.000Z,0.52,5.8,1.12,0.86,1.5,0.588,572
2020-04-20T00:00:00.000Z,0.53,5.05,1.17,0.91,1.5,0.548,523
2020-04-21T00:00:00.000Z,0.8,8.06,2.7,2.06,3.57,1.216,382
2020-04-22T00:00:00.000Z,0.94,6.55,2.29,1.72,3.03,0.958,423
2020-04-23T00:00:00.000Z,1,10.52,3,2.06,4.4,1.695,483
2020-04-24T00:00:00.000Z,0.55,11.42,4.09,2.13,5.34,2.307,555
2020-04-25T00:00:00.000Z,0.45,7.08,1.35,0.84,2.31,1.179,522
2020-04-26T00:00:00.000Z,0.6,8.44,1.51,1.06,2.46,1.478,566
2020-04-27T00:00:00.000Z,1.33,160.54,3.58,2.45,5.46,15.133,539
2020-04-28T00:00:00.000Z,1.6,17.67,8.47,6.5,10.53,3.206,418
2020-04-29T00:00:00.000Z,1,18.64,9.38,3.49,12.25,4.744,518
2020-04-30T00:00:00.000Z,0.6,8.94,1.98,1.2,4.2,1.883,550
2020-05-01T00:00:00.000Z,0.48,4.13,0.9,0.74,1.26,0.515,562
2020-05-02T00:00:00.000Z,0.8,12.96,2.87,2.16,3.98,1.896,548
2020-05-03T00:00:00.000Z,0.91,12.82,3.21,2.08,5.39,2.389,584
2020-05-04T00:00:00.000Z,0.76,17.23,4.88,2.52,7.02,2.952,536
2020-05-05T00:00:00.000Z,0.45,6.82,1.1,0.75,1.73,0.875,500
2020-05-06T00:00:00.000Z,0.6,8.32,1.36,1.07,1.78,0.729,592
2020-05-07T00:00:00.000Z,1.23,13.9,4.34,3.4,5.69,2.147,390
2020-05-08T00:00:00.000Z,1.58,17,5.38,3.45,9.02,3.403,350
2020-05-09T00:00:00.000Z,0.8,9.38,3.26,1.73,4.84,1.993,346
2020-05-10T00:00:00.000Z,2.54,16.32,5.05,4.15,5.98,1.758,248
2020-05-11T00:00:00.000Z,0.45,18.6,1.56,1.08,2.6,3.293,358
2020-05-12T00:00:00.000Z,0.48,15,1.65,1.2,2.23,1.064,471
2020-05-13T00:00:00.000Z,0.95,8.4,2.2,1.75,2.98,1.187,472
2020-05-14T00:00:00.000Z,0.6,7,1.42,0.96,2.2,1.175,466
2020-05-15T00:00:00.000Z,0.63,5.7,1.75,1.28,2.38,0.86,530
2020-05-16T00:00:00.000Z,0.57,5.37,1.52,1.12,2.06,0.769,338
2020-05-17T00:00:00.000Z,0.65,9.74,1.36,1,2.02,1.002,546
2020-05-18T00:00:00.000Z,0.76,10.52,1.98,1.52,2.62,1.186,479
2020-05-19T00:00:00.000Z,0.7,11.3,3.12,1.62,5.22,2.241,552
2020-05-20T00:00:00.000Z,0.56,9.32,1.56,0.98,2.63,1.282,557
2020-05-21T00:00:00.000Z,0.8,6.22,1.88,1.44,2.68,0.999,515
2020-05-22T00:00:00.000Z,0.86,6.82,1.76,1.42,2.24,0.853,554
2020-05-23T00:00:00.000Z,0.77,16.6,4.44,2.7,7.2,3.279,517
2020-05-24T00:00:00.000Z,0.5,14,2.5,1.6,3.83,1.92,546
2020-05-25T00:00:00.000Z,0.6,11.37,3.1,2.02,4.54,2.005,552
2020-05-26T00:00:00.000Z,0.6,32.83,2.2,1.21,5.09,3.474,513
2020-05-27T00:00:00.000Z,0.8,14.53,2.29,1.6,3.55,1.636,532
2020-05-28T00:00:00.000Z,0.5,28.93,1.47,0.9,2.43,2.146,549
2020-05-29T00:00:00.000Z,0.5,12.83,1.37,0.9,2.1,1.165,552
2020-05-30T00:00:00.000Z,0.5,8.52,1,0.7,1.57,0.961,573
2020-05-31T00:00:00.000Z,0.5,10.43,1.23,0.87,2,1.243,515
2020-06-01T00:00:00.000Z,0.5,8.47,1.1,0.8,1.87,1.271,500
2020-06-02T00:00:00.000Z,0.5,15.3,1,0.8,1.47,1.05,538
2020-06-03T00:00:00.000Z,0.7,5.6,1.43,1.1,1.97,0.773,463
2020-06-04T00:00:00.000Z,1.1,21.4,2.52,2,4.42,3.473,541
2020-06-05T00:00:00.000Z,0.6,27,1.93,1.2,9.23,6.365,467
2020-06-06T00:00:00.000Z,0.5,7.67,1.2,0.9,1.67,0.937,486
2020-06-07T00:00:00.000Z,0.6,6.23,1.6,1.23,2.12,0.843,545
2020-06-08T00:00:00.000Z,0.7,21.57,1.6,1.17,2.25,1.701,541
2020-06-09T00:00:00.000Z,0.63,10,1.57,1.12,2.29,1.172,503
2020-06-10T00:00:00.000Z,0.7,12.83,2.02,1.3,3.6,1.79,538
2020-06-11T00:00:00.000Z,2.97,36.63,20.3,13.82,26.69,7.854,569
2020-06-12T00:00:00.000Z,4.57,21.13,9,7.39,11.43,3.027,581
2020-06-13T00:00:00.000Z,4.26,52.43,12.3,9.11,17.36,6.481,552
2020-06-14T00:00:00.000Z,1.7,18.03,4.3,2.67,9.93,4.145,339
2020-06-15T00:00:00.000Z,0.97,10.02,1.93,1.45,2.63,1.182,569
2020-06-16T00:00:00.000Z,1.1,25.2,2.13,1.73,3.25,2.124,572
2020-06-17T00:00:00.000Z,1.43,15.17,3,2.2,4.17,1.79,554
2020-06-18T00:00:00.000Z,1.47,24.2,4.3,3.33,5.53,2.254,511
2020-06-19T00:00:00.000Z,2.4,17.2,5,3.9,8.52,2.887,491
2020-06-20T00:00:00.000Z,0.7,25.7,3.65,2.06,7.9,4.433,588
2020-06-21T00:00:00.000Z,0.93,12.5,2.8,1.7,4.2,1.972,588
